Sample,Row,Col,min,max,mean,stddev,sigma,dmin,dmax,dmean,dstddev,positive
1_10001322_10/3/1996_POL,C,5,151.719,1531.825,714.588078549849,533.541172250561,173.12313048985,0.000931323476151375,0.278152775983825,0.0309895982424478,0.0541600421415829,1
1_10001397_11/6/1996_POL,F,5,155.263,1454.474,682.052936555891,504.22408161863,166.172173173512,0.000636159200255556,0.306611856028676,0.0309886605077026,0.0552920225638888,1
1_10002497_6/19/1997_POL,F,11,140.346,1391.472,646.376933534743,491.590210612237,165.790437050089,0.000730315420232709,0.306561525411807,0.0309884843472848,0.0565909576301388,1
1_10004187_1/8/1996_ENV3,B,9,87.641,1056.105,500.496505995204,339.266551766646,77.3406131315484,0.000423179568469054,0.2190748680391,0.0248525114575143,0.0350350073488055,1
1_10004187_7/24/1996_GAG1,C,7,143.013,902.094,449.133912536443,279.077662256648,77.0982439750097,0.000966704692161019,0.230083709175202,0.0309610952336514,0.0424016087450941,1
1_10004461_1/20/1998_ENV3,A,9,98.204,1217.184,610.547537313433,414.48164275752,88.6808298302221,0.000573250784256648,0.110569248407205,0.0248313309994262,0.0251588945270616,1
1_10004461_12/5/1996_POL,C,5,150.459,1574.687,712.386352409639,536.978775791358,169.20498751129,0.000677987884003959,0.233488047038951,0.030927554455287,0.0486009314686802,1
1_10004461_6/30/1995_V4ENV,F,1,93.342,1193.517,580.605841726619,398.120073166452,91.4561844837056,0.000479415729963837,0.189287601324146,0.0248703943992572,0.0325163564794208,1
1_10004581_12/3/1997_GAG1,G,1,150.246,827.979,423.152963855422,245.06116602568,65.350002207814,0.00133924774436965,0.223163034997378,0.030901904792333,0.0407881119536793,1
1_10004818_7/21/1997_GAG1,A,7,134.435,704.797,361.19253313253,207.382040780561,58.031218440433,0.00170518825401761,0.249358570082313,0.0309284532102483,0.0438039540742929,1
1_30001864_10/17/1996_GAG1,A,7,110.186,628.529,316.99959400545,190.400320430091,54.8622790103948,0.00144333930915132,0.249937722149036,0.0309607650821149,0.0446415245668072,1
1_30001864_11/12/1998_GAG1,D,7,130.849,788.096,387.061836512262,240.593180159889,71.7964178392327,0.000830818828796363,0.235654792274847,0.0309271752959134,0.0440544489177222,1
1_30001864_11/12/1998_POL,D,11,112.488,1222.031,546.523501362398,428.441021819806,147.276141966561,0.00022213395887122,0.281590389966889,0.030938458931005,0.0554641161544908,1
1_30001864_11/12/1998_V4ENV,B,1,89.418,1146.191,526.399941605839,381.606533751028,90.3192058034938,0.000324914874395472,0.0926229413183548,0.0248260666471463,0.0241576311371037,1
1_30001864_5/5/1999_GAG1,E,7,126.011,748.408,369.631111716621,227.698453657442,67.6469767787658,0.00151586484456485,0.244838054424974,0.0309237438351853,0.0447269023212367,1
1_30001864_5/5/1999_POL,E,11,109.629,1159.705,518.45451226158,404.167988946725,137.07186498857,0.000370927409738043,0.227236126127225,0.030927876699887,0.0499675127263869,1
1_30001864_5/7/1997_GAG1,B,7,118.683,679.326,340.61636239782,205.627544122988,60.4761977341317,0.00119608160658086,0.252932204110101,0.0309473383434077,0.0453923677977961,1
1_40001742_11/6/1996_GAG1,G,1,138.503,944.037,468.187664652568,297.351364102683,81.0194848949747,0.000324681231928611,0.204200656362,0.030993358666864,0.0399073416452102,1
1_40020446_1/16/1997_GAG1,A,7,126.346,792.614,396.087839879154,246.963928772706,70.5199264131694,0.00125140710202868,0.246217946759403,0.0309842967984748,0.0448344083736258,1
1_40022824_12/4/1996_GAG2,C,3,119.466,913.72,483.163641399417,266.870825926764,36.5634529818994,0.00135994013267109,0.142338505953573,0.0309433989253527,0.0233279005148611,1
1_40022824_6/4/1997_ENV3,A,9,97.602,1214.509,579.127405472637,397.973776661963,86.6808417304855,0.000598614325285254,0.124223335679249,0.0248235864615447,0.0260359990231002,1
1_40022824_6/4/1997_GAG2,D,3,120.378,875.391,462.895032069971,254.551985300931,34.8499687610004,0.000873662192089618,0.111319411115547,0.030942704739979,0.0211777031869097,1
1_40022968_2/4/1998_V5ENV,C,3,93.829,948.411,446.318223880597,295.18966953061,64.8316530712249,0.000433755455674589,0.166979108971127,0.0248293681177803,0.0303669704377129,1
1_40024395_10/10/1996_GAG1,B,1,130.732,906.646,453.41194047619,284.515116027927,75.7361840933529,0.0013303331160802,0.240467019069312,0.030952886227452,0.0432580453371088,1
1_50002663_3/13/1997_ENV3,H,9,88.343,1352.112,648.873868613139,444.296125647246,92.3466489898685,0.000421099817923562,0.154683725845232,0.024856871510364,0.0280359825286556,1
1_50002663_3/13/1997_POL,A,11,132.442,1384.371,639.928077380952,485.147852848445,157.38980061356,0.00062711163068007,0.259607619039941,0.0309658485158878,0.0518155019415168,1
1_50003108_1/7/1998_POL,F,11,121.552,1349.984,617.415047619048,482.29301082123,164.11974686747,0.000617026458755782,0.307676227928675,0.0309701581405686,0.0576703043990315,1
1_60003159_4/15/1997_GAG1,E,7,145.494,900.224,449.94735347432,281.966781527109,82.1555233622136,0.000931813310668387,0.187344709729552,0.0309909041540113,0.040783579440158,1
1_60010085_8/18/1995_GAG1,E,1,125.605,929.598,453.105735465116,298.79375520351,84.4467277502257,0.00148367752703603,0.23971367771468,0.0309464470945346,0.0438016441462925,1
1_70002666_1/7/1997_V4ENV,A,1,93.558,1178.709,563.866878345499,383.233110978276,84.5084026729073,0.000256206065593219,0.130726671151242,0.0248418930063743,0.0283441116419998,1
1_70002874_12/31/1996_GAG1,A,1,131.717,936.45,459.168723214286,297.000806125994,82.8881709680377,0.00114681485432483,0.243108073039059,0.0309412063459392,0.0440087357168645,1
1_70002874_6/24/1997_GAG1,B,1,122.624,876.225,429.079806547619,279.937133580586,79.5155105739254,0.00094927848886329,0.243390320109117,0.0309465025901763,0.0444184584616761,1
1_70002874_6/24/1997_V5ENV,F,3,90.615,841.677,403.97001703163,257.631620466117,55.1818270401785,0.000410781824933074,0.22472717144832,0.0248426785361071,0.0337604811836727,1
1_70004096_8/15/1996_ENV2,C,7,101.712,1195.812,584.427609223301,374.223553093901,65.9145669912224,0.000612121577581167,0.138784303434116,0.0247873709327695,0.0239978128443789,1
1_70004267_3/12/1998_GAG2,C,9,134.621,1029.787,545.405708333333,306.830053609804,52.5544539669264,0.00132597739324958,0.145694138707841,0.0309492231277535,0.0268045252644972,1
1_70004267_9/19/1997_GAG1,B,7,131.129,820.3,413.234255952381,260.971605344748,77.6704667515037,0.00103484645230566,0.253402509387303,0.0309624877319317,0.0470471770270439,1
1_70005116_9/6/1996_GAG2,A,3,123.973,946.784,500.383584337349,274.00682773629,38.8927424166801,0.00125903670577819,0.170599598396459,0.0309281922633824,0.0260060515031885,1
1_80004498_5/20/1999_ENV3,D,9,90.361,1091.06,507.090596107056,352.619961767205,80.9814218735335,0.000108725102777083,0.141624749126144,0.024849625814077,0.0284868675738517,1
1_80011685_2/11/1997_POL,A,11,131.262,1396.797,635.316268221574,491.092108895972,163.279936355296,0.00102957961780393,0.24497563580241,0.0309386327310872,0.0515332187012218,1
10_Neg,H,10,148.721,349.158,222.841190332326,64.8559784716738,14.865893902665,-0.00103141082974007,0.0558948984502655,0.0309727728451895,0.0172768198028289,0
11_Neg,H,11,153.991,238.536,187.263465256798,24.1210499652338,3.89836901444625,0.0058567381536034,0.063278193222701,0.0310220189727346,0.0122784601698289,0
12_Neg,H,12,141.234,212.234,168.612151057402,19.9884855472865,3.47366034717358,0.00273432594087692,0.067004101076281,0.0309846447117699,0.0132291615495681,0
13_Neg,H,7,126.173,210.172,158.209766763848,23.9581122010445,4.39620989839376,0.0098374897874759,0.0692561899677132,0.030959855143359,0.0135167411033607,0
14_Neg,H,8,123.496,202.734,154.038393586006,22.4937581708511,3.99347991511159,0.0123498706142843,0.0684122971080818,0.030951177059881,0.0129613330402125,0
15_Neg,H,9,118.691,337.677,200.01256851312,72.2492439366366,16.8646309684356,0.00267926499501714,0.0580987142867957,0.0309493743913761,0.0179748727844432,0
16_Neg,H,10,121.203,360.171,209.897058309038,79.0692566115418,18.5728049822087,0.00359372159464069,0.059716627635948,0.0309535674414038,0.0181665333362089,0
17_Neg,H,11,126.162,207.909,158.076819241983,23.4845669581716,4.05426760053137,0.00844838554087406,0.0594704443405352,0.0309239371222063,0.0122870153098233,0
18_Neg,H,12,122.212,204.468,154.159606413994,23.565219343747,4.16082688632264,0.00729283496274131,0.0628119473606783,0.0309789649140546,0.0126699418363087,0
19_Neg,H,7,135.019,233.202,172.025153614458,28.1202702002746,5.46553764995186,0.00881157431349953,0.059722453084898,0.0308980459681928,0.0138212118720795,0
1_Neg,H,7,120.875,200.604,153.391040816327,22.3621872956885,3.37400437954861,0.0138185042909265,0.0665368824142148,0.030906035043813,0.0110981747434423,0
20_Neg,H,8,135.285,736.675,369.51153313253,228.64839489593,77.4247285475785,-0.00403270939357372,0.513745840856597,0.0309945701228812,0.0700615614058037,0
21_Neg,H,9,128.929,391.368,225.926653614458,86.5814123572719,20.4691573354858,0.00153524034718822,0.0587291995418604,0.0309105452520703,0.0180946680365394,0
22_Neg,H,10,131.007,399.775,230.16178313253,88.931126855028,21.3217135518042,0.00363277128666091,0.0592641011206649,0.0309216392788993,0.0183255952095778,0
23_Neg,H,11,138.306,227.639,173.01034939759,25.601888280616,4.46688088511376,0.00661217684154064,0.0641193277885342,0.0309155122647419,0.0124782299961047,0
24_Neg,H,12,125.767,217.266,162.119801204819,25.767282479831,4.32726216380889,0.010091848341137,0.0644465611877565,0.030919713168988,0.0117825332731,0
25_Neg,F,11,90.445,128.417,105.563544776119,10.5639140067203,1.31672840937834,0.00464511657400964,0.0772579178491327,0.0248219347470083,0.0114399881680272,0
26_Neg,G,11,93.645,190.121,125.776502487562,26.7362605052899,7.12429162783653,0.00236306461062732,0.0594369392168353,0.0248130016294488,0.015321445514686,0
27_Neg,H,11,96.251,189.678,128.809388059701,25.959471041448,6.24989172401185,0.00582147125954967,0.0561638668768407,0.0248278580883084,0.0138322274149999,0
28_Neg,F,12,89.719,173.248,120.506865671642,23.8308705268334,4.90136666445379,0.00440353563330357,0.0491346380352882,0.0248228237319973,0.0117474869264563,0
29_Neg,G,12,92.053,324.67,180.328771144279,76.7741139913024,16.2588199193557,0.00137279451403846,0.0570960706433863,0.0248317562197786,0.0158336519481676,0
2_Neg,H,8,127.34,212.296,159.607002915452,24.1375261366418,4.52255317936173,0.00465343482123637,0.0717868084821325,0.0309336238000492,0.0135438184487183,0
30_Neg,H,12,98.461,136.084,113.298360696517,10.0243911884961,1.4108814300988,0.00632233908853745,0.0774406171496151,0.0248273801461835,0.0118340490707763,0
3_Neg,H,9,123.067,349.587,209.693099125364,74.5713896666849,15.5093513364112,0.00397161898890497,0.056461195099821,0.0309325939590446,0.0168585564440589,0
4_Neg,H,10,127.944,371.508,219.431457725948,80.4730325589349,18.0980209037709,0.00389270106551616,0.0577756218070506,0.0309238413209833,0.0174944243471663,0
5_Neg,H,11,129.77,187.245,152.404906705539,16.263760618959,2.61662430026504,0.0113681839488897,0.0756132252241295,0.0309186555159411,0.0126726274340389,0
6_Neg,H,12,123.468,202.839,154.426306122449,22.7374096652017,3.86647903360655,0.00763226029765135,0.0662498253115387,0.0308889694838878,0.0124497924910036,0
7_Neg,H,7,155.287,248.155,191.683939577039,26.5772771860972,4.33706422533831,0.000265868535980239,0.0592448085895238,0.0309807981987516,0.0123568218758266,0
8_Neg,H,8,152.068,255.798,191.56898489426,29.4296369065486,5.41802090725818,-0.00073921213502772,0.0645866065082359,0.0309777854840868,0.0134211313919001,0
9_Neg,H,9,149.498,411.017,246.161220543807,85.3864766688727,19.8559441793666,0.00268589857673085,0.0568920465223526,0.0309811328465485,0.0176590851664313,0
1_10001397_1/16/1998_V4ENV,G,1,104.165,630.433,308.283679039301,182.429839269521,39.8472301515422,0.00143870512644798,0.0680149995570443,0.0248115927288828,0.0174381750285132,0
1_10001397_1/16/1998_V5ENV,G,3,100.855,202.354,138.389641921397,28.966901478542,5.43672260565681,0.00747154765423165,0.0517304527003552,0.0248086811089997,0.0121024523027548,0
1_10001432_1/24/1996_V5ENV,B,11,99.826,639.326,333.58238209607,181.456556919154,32.8887144385725,0.00072758477368095,0.172069200193651,0.0248110649941134,0.0271434959316025,0
1_20001564_5/9/1997_V5ENV,C,3,85.851,286.469,169.220717761557,63.7774022352833,9.24500308478148,0.000233773181081924,0.101697394422855,0.0247935475610069,0.0187211960250711,0
1_60011244_3/17/1999_V4ENV,D,1,89.201,643.653,301.18603649635,191.604395745457,42.8039639882954,0.00160817344791085,0.0752635696506594,0.0248190416599138,0.0173984965707566,0
1_60011244_3/17/1999_V5ENV,D,3,84.02,210.619,133.722661800487,38.5424376982931,6.23033156031292,0.00432517508958714,0.143981131539966,0.0247862357520229,0.0203213072287623,0
1_70003679_11/8/1996_V4ENV,A,1,95.457,418.669,204.841626213592,109.659458659169,35.9295323786852,0.00144767386895764,0.0685599776982993,0.0247914473700379,0.0199703294435708,0
